

DATE:	06/11/2017	TIME:	11:10:28
Initialising game took 10.26 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
Student: Joe Garlick	DATE: 06/11/2017	TIME: 21:44:42
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	67.222
Average Paint time=	14.864 ms
Average Init time=	15.916 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 06/11/2017	TIME: 21:44:52
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	66.266
Average Paint time=	15.084 ms
Average Init time=	15.155 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 06/11/2017	TIME: 21:45:22
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	69.400
Average Paint time=	14.402 ms
Average Init time=	17.905 us

*************************************************************************************************************************
//Edited options


Student: Joe Garlick	DATE: 06/11/2017	TIME: 21:56:11
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	73.778
Average Paint time=	13.549 ms
Average Init time=	15.682 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 06/11/2017	TIME: 21:59:34
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	72.129
Average Paint time=	13.845 ms
Average Init time=	15.799 us

*************************************************************************************************************************
//Options now putchar

Student: Joe Garlick	DATE: 06/11/2017	TIME: 22:01:52
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	80.505
Average Paint time=	12.448 ms
Average Init time=	16.852 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 06/11/2017	TIME: 22:02:46
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	77.585
Average Paint time=	12.884 ms
Average Init time=	15.506 us

*************************************************************************************************************************
//Title to put

Student: Joe Garlick	DATE: 06/11/2017	TIME: 22:04:43
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	82.087
Average Paint time=	12.163 ms
Average Init time=	17.028 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 06/11/2017	TIME: 22:05:14
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	80.522
Average Paint time=	12.409 ms
Average Init time=	15.682 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 06/11/2017	TIME: 22:05:31
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	79.875
Average Paint time=	12.494 ms
Average Init time=	15.916 us

*************************************************************************************************************************
//Date and time puts

Student: Joe Garlick	DATE: 06/11/2017	TIME: 22:07:18
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	87.207
Average Paint time=	11.457 ms
Average Init time=	23.055 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 06/11/2017	TIME: 22:09:46
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	86.411
Average Paint time=	11.568 ms
Average Init time=	16.443 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 06/11/2017	TIME: 22:11:01
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	84.951
Average Paint time=	11.766 ms
Average Init time=	16.677 us

*************************************************************************************************************************
//instructions

Student: Joe Garlick	DATE: 06/11/2017	TIME: 22:15:54
